title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
Millennium Blades -- The CCG-Simulator Board Game, Millennium Blades is a Board Game about a group of friends who play a Collectible Card Game called Millennium Blades. ,other_loc,usd,Tabletop Games,1.59235891282,1.16631523594,0.695974583674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lumu - bringing Light Meter to the 21st Century, Lumu is the light meter for the iPhone. Made to unleash the creativity in photographers. ,other_loc,usd,Product Design,1.50832371073,-0.797384908415,0.691611451504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
emberlight: turn any bulb into a smart light., Mold your lights around your life. Control any dimmable bulb with your existing WiFi and phone. ,"San Francisco, CA",usd,Hardware,2.34995747471,1.16631523594,0.690157074114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apotheca: The Secret Potion Society, Now available at your FLGS and online! ,"Los Angeles, CA",usd,Tabletop Games,-0.428051245691,-0.797384908415,0.663978281094,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wio Link - 3 Steps. 5 Minutes. Build Your IoT Applications!," ESP8266 based open-source, Wi-Fi solution to simplify IoT development by virtualizing plug-n-play modules to Web of Things. ","San Francisco, CA",usd,Hardware,0.452535722064,-0.797384908415,0.656706394144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Among the Stars, Help the Alliance construct efficient space stations and bring peace Among the Stars! ,"New York, NY",usd,Tabletop Games,0.726151039947,-1.12466826581,0.650888884584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Premium Boxer Briefs: Ridiculous Comfort at a Fair Price, We  _  _ve created the perfect pair of comfortable boxer briefs to give guys the underwear they deserve at a price they can afford. ,"Austin, TX",usd,Apparel,0.0142385162165,-0.470101551023,0.639253865465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moby Dick, or, The Card Game"," A card game based on Herman Melville's classic novel.  Draft Sailors, explore the Sea and survive the terror of the White Whale! ","New York, NY",usd,Tabletop Games,-0.574214155917,-0.470101551023,0.634890733295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Common Fibers: A Real Carbon Fiber Wallet, Real Carbon Fiber RFID Blocking Wallets ,other_loc,usd,Product Design,0.339874924312,-0.797384908415,0.610166317665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Above and Below- Storytelling Board Game, Explore a massive cavern and build your new village above and below ground in this storytelling/town-building mashup board game. ,other_loc,usd,Tabletop Games,0.00651859232187,-1.12466826581,0.591259411596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
