title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
Almost Adults Feature, A comedic look at love between two best friends as their lives head in different directions. ,"Toronto, Canada",cad,other_categ,-0.289490397927,0.511748521153,2.31324224132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hate Mail: The Definitive Collection, A retrospective of illustrator Mr Bingo  _  _s Hate Mail postcard project. ,"London, UK",gbp,Art Books,-0.0966396273537,0.184465163761,2.30597035437,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pillars of Eternity: Lords of the Eastern Reach Card Game," Build cities, raise armies, defeat your enemies in this one to four player card game based in the world of Pillars of Eternity. ",other_loc,usd,Tabletop Games,1.43603045395,-0.142818193631,2.29433533525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Firebiner," The Fire-Starting, Multi-Tool, Every-Day-Carry, Survival Carabiner you can't live without.  Make life easier and be prepared. ",other_loc,usd,Product Design,-0.476816413804,-1.12466826581,2.27397405179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trigger Happy Camera Remote," The world's most advanced camera remote! Trigger a camera with an iOS or Android device. Long exposures, intervalometer, and bramping. ","San Francisco, CA",usd,Technology,1.17910726159,-0.470101551023,2.27397405179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ernest Wright and Son Ltd - Scissors Hand-Made in Sheffield., Lifetime-lasting scissors designed and hand-made by Ernest Wright and Son Ltd in Sheffield England - the birthplace of stainless steel. ,other_loc,gbp,Product Design,1.57217514233,1.82088195072,2.23616023966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SALT - Keyless entry for your phone," When you're near your phone, your phone is unlocked. When you leave, it locks itself. Automatically. ","Chicago, IL",usd,Wearables,-0.875350118523,1.16631523594,2.22597959793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MaxStone : iPhone your Camera, A wireless remote that lets you control your DSLR camera through your iPhone (smartphone) + much more! Let's iPhone your Camera! ,other_loc,usd,Product Design,0.450753067883,1.16631523594,2.22161646576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rhino Shield: The Impact Resistant Screen Protector," Rhino Shield protects your iPhone, iPad, Android mobile and tablet screens against impact. ",other_loc,gbp,Product Design,-1.00166810988,1.16631523594,2.22161646576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elegy for a Dead World: A Game About Writing Fiction," Explore dead civilizations, write about what you find, and share your stories with the universe: a game about writing fiction. ","Boston, MA",usd,Video Games,-1.02195500912,1.03540189298,2.20998144664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
